Major_Market_Sector,LLDPE_LDPE,HDPE,PP,PS,PVC,PET,PUR,Other Thermoplastics,Other Thermosets,PA,PMMA,Sum
Transportation,0.003,0.087,0.198,0,0.031,0,0.234,0.38,0.068,0,0,1
Packaging,0.372,0.23,0.155,0.033,0.017,0.168,0.011,0.006,0.008,0,0,1
Textiles,0.000,0.000,0.000,0.000,0.000,0.880,0.000,0.000,0.000,0.090,0.030,1
Building_Construction,0.083,0.187,0.034,0.031,0.377,0,0.154,0.067,0.065,0,0,1
Electrical_Electronic,0.103,0.015,0.105,0.089,0.108,0,0.054,0.453,0.073,0,0,1
Household_Leisure_Sports,0.308,0.125,0.217,0.094,0.043,0,0.113,0.04,0.06,0,0,1
Agriculture,0.144,0.011,0.448,0.017,0.118,0.008,0,0.093,0.161,0,0,1
Others,0.095,0.046,0.138,0.005,0.068,0,0.213,0.155,0.279,0,0,1
