Major_Market_Sector,LLDPE_LDPE,HDPE,PP,PS,PVC,PET,PUR,Other Thermoplastics,Other Thermosets,Sum
Transportation,0.02%,0.65%,1.48%,0.00%,0.23%,0.00%,1.75%,2.85%,0.51%,7.49%
Packaging,14.59%,9.00%,6.07%,1.31%,0.67%,6.59%,0.43%,0.24%,0.31%,39.22%
Building_Construction,1.47%,3.32%,0.61%,0.55%,6.69%,0.00%,2.73%,1.20%,1.15%,17.73%
Electrical_Electronic,0.46%,0.07%,0.47%,0.40%,0.48%,0.00%,0.24%,2.04%,0.33%,4.49%
Household_Leisure_Sports,7.13%,2.90%,5.02%,2.17%,0.99%,0.00%,2.62%,0.93%,1.40%,23.15%
Agriculture,0.11%,0.01%,0.34%,0.01%,0.09%,0.01%,0.00%,0.07%,0.12%,0.77%
Others,0.68%,0.33%,0.98%,0.04%,0.49%,0.00%,1.52%,1.11%,2.00%,7.14%
