Year,China,NAFTA,EU30,RoW
2020,56.34,2.98,2.80,13.87
2019,54.33,2.99,4.24,12.18
2018,45.63,2.86,4.04,18.88
2017,44.81,3.00,4.09,17.13
2016,44.64,3.00,4.15,12.96
2015,44.46,2.99,4.19,11.94
2014,40.17,3.03,4.21,12.37
2013,37.32,3.08,4.19,12.09
2012,33.53,3.12,4.17,12.64
2011,31.15,3.06,4.34,11.37
2010,28.04,3.07,4.12,12.03
2009,24.94,2.82,3.96,9.72
2008,22.41,3.25,3.95,9.94
2007,21.76,3.44,4.29,12.24
2006,18.60,3.55,4.19,11.90
2005,13.14,3.85,4.14,15.64
