Year,China,NAFTA,EU30,RoW
2020,-20.30,8.42,2.41,9.47
2019,-18.53,7.12,2.45,8.96
2018,-11.29,6.46,1.47,3.37
2017,-13.15,5.86,1.23,6.06
2016,-6.13,3.05,2.60,0.48
2015,-12.91,4.21,1.77,6.93
2014,-12.16,3.68,2.37,6.12
2013,-11.56,7.99,1.92,1.66
2012,-10.59,6.98,1.80,1.81
2011,-9.53,3.66,1.94,3.92
2010,-11.46,6.08,2.59,2.80
2009,-7.09,2.78,-0.24,4.55
2008,-6.30,5.48,0.23,0.59
2007,-8.53,3.45,2.47,2.62
2006,-7.77,3.66,0.14,3.97
2005,-6.90,6.32,1.02,-0.44
