Major_Market_Sector,Average,Standard Deviation,Variance,Moo1,Sigma1
Transportation,13.0000000,3.0000000,9.0000000,2.5390069,0.2277824
Packaging,0.5000000,0.1000000,0.0100000,-0.7127575,0.1980422
Building_Construction,35.0000000,7.0000000,49.0000000,3.5357377,0.1980422
Electrical_ Electronic,8.0000000,2.0000000,4.0000000,2.0491292,0.2462207
Household_Leisure_Sports,3.0000000,1.0000000,1.0000000,1.0459320,0.3245928
Agriculture,2.0000000,1.0000000,1.0000000,0.5815754,0.4723807
Other,5.0000000,1.5000000,2.2500000,1.5663491,0.2935604
Textiles,5.0000000,1.5000000,2.2500000,1.5663491,0.2935604
