Year,China,NAFTA,EU30,RoW
2020,-9.8,7.8,2.8,-0.7
2019,-12.3,4.7,2.2,5.5
2018,-8,4.7,1.4,1.9
2017,-11.1,4.7,1.5,4.9
2016,-6.8,4.1,1.4,1.3
2015,-10.9,8.4,2.1,0.4
2014,-8.5,3.6,1.3,3.6
2013,-11.7,4.3,1.3,6
2012,-11.1,5.6,0.8,4.6
2011,-11.9,5.1,1.4,5.4
2010,-10.3,8,2,0.3
2009,-5.8,4.9,1.7,-0.8
2008,-6,5.9,2.2,-2.1
2007,-5.7,5.9,2.5,-2.7
2006,-4.8,3.1,1.9,-0.1
2005,-4.2,4.1,1.4,-1.3
