Major_Market_Sector,LLDPE_LDPE,HDPE,PP,PS,PVC,PET,PUR,Other Thermoplastics,Other Thermosets,Sum
Transportation,0.0043978,0.0068397,0.0203992,0.0004747,0.0017809,0.0000000,0.0120642,0.0253865,0.0064588,0.0778018
Packaging,0.1078341,0.0687631,0.1032650,0.0130972,0.0049538,0.0739862,0.0017828,0.0022578,0.0039586,0.3798985
Building_Construction,0.0143645,0.0253471,0.0105498,0.0125741,0.0905681,0.0000000,0.0209779,0.0103767,0.0145843,0.1993425
Electrical_Electronic,0.0066217,0.0037952,0.0079147,0.0068427,0.0076966,0.0000678,0.0080566,0.0315906,0.0041670,0.0767528
Household_Leisure_Sports,0.0273557,0.0131730,0.0296922,0.0105014,0.0079739,0.0019800,0.0314489,0.0095320,0.0176887,0.1493458
Agriculture,0.0118975,0.0063596,0.0047396,0.0001789,0.0047197,0.0000894,0.0000000,0.0009837,0.0033254,0.0322938
Others,0.0101275,0.0055124,0.0116889,0.0012233,0.0046990,0.0011818,0.0130150,0.0118859,0.0252309,0.0845648
