Major_Market_Sector,LLDPE_LDPE,HDPE,PP,PS,PVC,PET,PUR,Other Thermoplastics,Other Thermosets,Sum
Transportation,0.35%,0.67%,1.91%,0.14%,0.31%,0.00%,1.24%,3.58%,0.63%,8.83%
Packaging,12.04%,7.26%,9.48%,1.75%,0.81%,8.34%,0.10%,0.31%,0.39%,40.49%
Building_Construction,0.94%,2.83%,1.65%,3.07%,6.96%,0.00%,2.03%,1.51%,1.42%,20.41%
Electrical_Electronic,0.57%,0.35%,1.00%,0.35%,0.26%,0.02%,0.65%,2.56%,0.41%,6.16%
Household_Leisure_Sports,0.47%,0.59%,2.74%,0.61%,0.53%,0.02%,2.26%,1.17%,1.73%,10.12%
Agriculture,1.08%,0.08%,1.08%,0.04%,0.28%,0.02%,0.00%,0.22%,0.39%,3.19%
Others,2.01%,1.06%,1.85%,0.12%,0.41%,0.02%,1.47%,1.40%,2.46%,10.80%
