Year,China,NAFTA,EU30,RoW
2020,11.60,5.30,5.14,9.15
2019,10.24,5.43,5.60,9.33
2018,8.97,5.27,5.84,9.21
2017,8.08,5.13,5.95,9.12
2016,7.58,4.79,5.83,9.26
2015,7.38,4.92,5.45,8.78
2014,6.63,4.85,5.47,8.69
2013,6.19,4.62,5.37,8.50
2012,5.38,4.58,5.15,8.27
2011,5.18,4.30,5.23,8.09
2010,4.96,4.22,5.11,7.32
2009,4.40,4.47,5.43,7.28
2008,3.92,4.52,5.47,7.43
2007,3.71,4.74,5.55,7.92
2006,3.27,4.83,5.29,7.25
2005,3.17,4.56,4.92,6.76
