Year,China,NAFTA,EU30,RoW
2020,-12.78,6.55,5.15,1.08
2019,-20.23,4.63,2.45,13.15
2018,-14.14,5.74,4.87,3.53
2017,-18.16,5.70,1.01,11.45
2016,-13.82,5.18,4.61,4.03
2015,-19.66,5.61,5.26,8.79
2014,-12.85,4.49,4.30,4.05
2013,-14.57,5.24,4.32,5.01
2012,-13.55,4.71,4.05,4.80
2011,-13.05,3.64,3.75,5.66
2010,-12.77,4.06,5.22,3.48
2009,-6.88,3.75,3.72,-0.60
2008,-7.16,3.06,4.74,-0.64
2007,-6.42,4.23,4.18,-2.00
2006,-4.35,4.00,3.40,-3.04
2005,-2.69,3.73,3.62,-4.66
