year,region,inputProduceFiberMT,inputProduceResinMT,inputImportResinMT,inputImportArticlesMT,inputImportGoodsMT,inputImportFiberMT,inputAdditivesMT,consumptionAgricultureMT,consumptionConstructionMT,consumptionElectronicMT,consumptionHouseholdLeisureSportsMT,consumptionPackagingMT,consumptionTransporationMT,consumptionTextitleMT,consumptionOtherMT,eolRecyclingPercent,eolIncinerationPercent,eolLandfillPercent,eolMismanagedPercent
2012,nafta,3.12,57.31,-6.2,6.98,5.6,4.6,4.76,0.0,0.0,1.344,0.9296,2.5928,0.728,7.72,0.0056,0.0829,0.162,0.7233,0.0318
2012,row,12.64,103.1,-10.8,1.81,4.6,4.8,10.22,0.0,0.0,1.104,0.7636,2.1298,0.598,17.44,0.0046,0.139,0.0622,0.2781,0.5207
2011,china,31.15,64.17,18.0,-9.53,-11.9,-12.9,3.85,0.0,0.0,-2.856,-1.9754,-5.5097,-1.547,18.25,-0.0119,0.2883,0.4322,0.1043,0.1752
2011,eu30,4.34,58.59,-0.2,1.94,1.4,3.9,4.84,0.0,0.0,0.336,0.2324,0.6482,0.182,8.24,0.0014,0.2439,0.3333,0.3831,0.0397
2011,nafta,3.06,55.8,-7.8,3.66,5.1,3.6,4.61,0.0,0.0,1.224,0.8466,2.3613,0.663,6.66,0.0051,0.0796,0.1443,0.7436,0.0325
2011,row,11.37,100.44,-10.1,3.92,5.4,5.5,9.9,0.0,0.0,1.296,0.8964,2.5002,0.702,16.87,0.0054,0.1362,0.0607,0.2713,0.5319
2010,china,28.04,63.22,19.9,-11.46,-10.3,-12.6,3.71,0.0,0.0,-2.472,-1.7098,-4.7689,-1.339,15.44,-0.0103,0.2867,0.4034,0.0917,0.2182
2010,eu30,4.12,57.84,-0.7,2.59,2.0,5.2,4.67,0.0,0.0,0.48,0.332,0.926,0.26,9.32,0.002,0.2282,0.3154,0.4162,0.0402
2010,nafta,3.07,55.15,-8.1,6.08,8.0,4.0,4.45,0.0,0.0,1.92,1.328,3.704,1.04,7.07,0.008,0.0705,0.1503,0.746,0.0332
2010,row,12.03,92.81,-11.1,2.8,0.3,3.5,9.54,0.0,0.0,0.072,0.0498,0.1389,0.039,15.53,0.0003,0.1334,0.0591,0.2643,0.5433
2009,china,24.94,37.5,20.7,-7.09,-5.8,-6.8,3.45,0.0,0.0,-1.392,-0.9628,-2.6854,-0.754,18.14,-0.0058,0.283,0.3912,0.0729,0.2528
2009,eu30,3.96,62.5,-1.9,-0.24,1.7,3.7,4.34,0.0,0.0,0.408,0.2822,0.7871,0.221,7.66,0.0017,0.2105,0.2996,0.4491,0.0407
2009,nafta,2.82,57.5,-7.6,2.78,4.9,3.7,4.13,0.0,0.0,1.176,0.8134,2.2687,0.637,6.52,0.0049,0.0707,0.1495,0.7459,0.0339
2009,row,9.72,92.5,-11.2,4.55,-0.8,-0.6,8.87,0.0,0.0,-0.192,-0.1328,-0.3704,-0.104,9.12,-0.0008,0.1306,0.0575,0.257,0.5549
2008,china,22.41,36.75,13.8,-6.3,-6.0,-7.1,3.38,0.0,0.0,-1.44,-0.996,-2.778,-0.78,15.31,-0.006,0.2769,0.3642,0.0682,0.2907
2008,eu30,3.95,61.25,-0.2,0.23,2.2,4.7,4.25,0.0,0.0,0.528,0.3652,1.0186,0.286,8.65,0.0022,0.2033,0.2927,0.4628,0.0413
2008,nafta,3.25,56.35,-5.9,5.48,5.9,3.0,4.05,0.0,0.0,1.416,0.9794,2.7317,0.767,6.25,0.0059,0.0683,0.1488,0.7483,0.0346
2008,row,9.94,90.65,-7.7,0.59,-2.1,-0.6,8.69,0.0,0.0,-0.504,-0.3486,-0.9723,-0.273,9.34,-0.0021,0.1279,0.0558,0.2495,0.5668
2007,china,21.76,38.55,15.2,-8.53,-5.7,-6.4,3.54,0.0,0.0,-1.368,-0.9462,-2.6391,-0.741,15.36,-0.0057,0.2676,0.3162,0.0561,0.36
2007,eu30,4.29,64.25,-2.3,2.47,2.5,4.1,4.46,0.0,0.0,0.6,0.415,1.1575,0.325,8.39,0.0025,0.1911,0.2846,0.4826,0.0418
2007,nafta,3.44,59.11,-6.2,3.45,5.9,4.2,4.25,0.0,0.0,1.416,0.9794,2.7317,0.767,7.64,0.0059,0.0688,0.1481,0.7478,0.0354
2007,row,12.24,95.09,-6.7,2.62,-2.7,-1.9,9.12,0.0,0.0,-0.648,-0.4482,-1.2501,-0.351,10.34,-0.0027,0.1253,0.054,0.2417,0.579
2006,china,18.6,35.53,15.5,-7.77,-4.8,-4.3,3.38,0.0,0.0,-1.152,-0.7968,-2.2224,-0.624,14.3,-0.0048,0.2543,0.3282,0.0379,0.3795
2006,eu30,4.19,61.25,-2.1,0.14,1.9,3.4,4.25,0.0,0.0,0.456,0.3154,0.8797,0.247,7.59,0.0019,0.1801,0.2901,0.4874,0.0424
2006,nafta,3.55,57.58,-3.6,3.66,3.1,3.9,4.05,0.0,0.0,0.744,0.5146,1.4353,0.403,7.45,0.0031,0.0606,0.1474,0.7559,0.0361
2006,row,11.9,90.65,-9.7,3.97,-0.1,-3.0,8.69,0.0,0.0,-0.024,-0.0166,-0.0463,-0.013,8.9,-0.0001,0.1227,0.0522,0.2336,0.5914
2005,china,13.14,32.2,16.5,-6.9,-4.2,-2.7,3.17,0.0,0.0,-1.008,-0.6972,-1.9446,-0.546,10.44,-0.0042,,,,
2005,eu30,4.14,57.5,-2.6,1.02,1.4,3.6,3.99,0.0,0.0,0.336,0.2324,0.6482,0.182,7.74,0.0014,,,,
2005,nafta,3.85,55.2,-4.2,6.32,4.1,3.7,3.8,0.0,0.0,0.984,0.6806,1.8983,0.533,7.55,0.0041,,,,
2005,row,15.64,85.1,-9.7,-0.44,-1.3,-4.6,8.16,0.0,0.0,-0.312,-0.2158,-0.6019,-0.169,11.04,-0.0013,,,,
