year,region,inputProduceFiberMT,inputProduceResinMT,inputImportResinMT,inputImportArticlesMT,inputImportGoodsMT,inputImportFiberMT,inputAdditivesMT,consumptionAgricultureMT,consumptionConstructionMT,consumptionElectronicMT,consumptionHouseholdLeisureSportsMT,consumptionPackagingMT,consumptionTransporationMT,consumptionTextitleMT,consumptionOtherMT,eolRecyclingPercent,eolIncinerationPercent,eolLandfillPercent,eolMismanagedPercent
2012,nafta,3.12,57.31,0,6.98,5.6,4.6,4.76,0.0,0.0,1.344,0.9296,2.5928,0.728,7.72,0.0056,0.0829,0.162,0.7233,0.0318
2012,row,12.64,103.1,0,1.81,4.6,4.8,10.22,0.0,0.0,1.104,0.7636,2.1298,0.598,17.44,0.0046,0.139,0.0622,0.2781,0.5207
2011,china,31.15,64.17,18.0,0,0,0,3.85,0.0,0.0,0,0,0,0,18.25,0,0.2883,0.4322,0.1043,0.1752
2011,eu30,4.34,58.59,0,1.94,1.4,3.9,4.84,0.0,0.0,0.336,0.2324,0.6482,0.182,8.24,0.0014,0.24390000000000003,0.33330000000000004,0.38310000000000005,0.039700000000000006
2011,nafta,3.06,55.8,0,3.66,5.1,3.6,4.61,0.0,0.0,1.224,0.8466,2.3613,0.663,6.66,0.0051,0.0796,0.1443,0.7436,0.0325
2011,row,11.37,100.44,0,3.92,5.4,5.5,9.9,0.0,0.0,1.296,0.8964,2.5002,0.702,16.87,0.0054,0.1361863813618638,0.060693930606939304,0.2712728727127287,0.5318468153184682
2010,china,28.04,63.22,19.9,0,0,0,3.71,0.0,0.0,0,0,0,0,15.44,0,0.2867,0.4034,0.0917,0.2182
2010,eu30,4.12,57.84,0,2.59,2.0,5.2,4.67,0.0,0.0,0.48,0.332,0.926,0.26,9.32,0.002,0.2282,0.3154,0.4162,0.0402
2010,nafta,3.07,55.15,0,6.08,8.0,4.0,4.45,0.0,0.0,1.92,1.328,3.704,1.04,7.07,0.008,0.0705,0.1503,0.746,0.0332
2010,row,12.03,92.81,0,2.8,0.3,3.5,9.54,0.0,0.0,0.072,0.0498,0.1389,0.039,15.53,0.0003,0.13338666133386662,0.05909409059094091,0.2642735726427357,0.5432456754324567
2009,china,24.94,37.5,20.7,0,0,0,3.45,0.0,0.0,0,0,0,0,18.14,0,0.283028302830283,0.3912391239123913,0.07290729072907293,0.25282528252825287
2009,eu30,3.96,62.5,0,0,1.7,3.7,4.34,0.0,0.0,0.408,0.2822,0.7871,0.221,7.66,0.0017,0.21052105210521052,0.2996299629962996,0.44914491449144917,0.0407040704070407
2009,nafta,2.82,57.5,0,2.78,4.9,3.7,4.13,0.0,0.0,1.176,0.8134,2.2687,0.637,6.52,0.0049,0.0707,0.1495,0.7459,0.0339
2009,row,9.72,92.5,0,4.55,0,0,8.87,0.0,0.0,0,0,0,0,9.12,0,0.1306,0.0575,0.257,0.5549
2008,china,22.41,36.75,13.8,0,0,0,3.38,0.0,0.0,0,0,0,0,15.31,0,0.2769,0.3642,0.0682,0.2907
2008,eu30,3.95,61.25,0,0.23,2.2,4.7,4.25,0.0,0.0,0.528,0.3652,1.0186,0.286,8.65,0.0022,0.20327967203279673,0.29267073292670737,0.4627537246275372,0.04129587041295871
2008,nafta,3.25,56.35,0,5.48,5.9,3.0,4.05,0.0,0.0,1.416,0.9794,2.7317,0.767,6.25,0.0059,0.06830000000000001,0.14880000000000002,0.7483000000000001,0.034600000000000006
2008,row,9.94,90.65,0,0.59,0,0,8.69,0.0,0.0,0,0,0,0,9.34,0,0.1279,0.0558,0.2495,0.5668
2007,china,21.76,38.55,15.2,0,0,0,3.54,0.0,0.0,0,0,0,0,15.36,0,0.2676267626762676,0.31623162316231623,0.056105610561056105,0.36003600360036003
2007,eu30,4.29,64.25,0,2.47,2.5,4.1,4.46,0.0,0.0,0.6,0.415,1.1575,0.325,8.39,0.0025,0.1910808919108089,0.28457154284571545,0.48255174482551744,0.0417958204179582
2007,nafta,3.44,59.11,0,3.45,5.9,4.2,4.25,0.0,0.0,1.416,0.9794,2.7317,0.767,7.64,0.0059,0.06879312068793121,0.14808519148085192,0.7477252274772523,0.035396460353964605
2007,row,12.24,95.09,0,2.62,0,0,9.12,0.0,0.0,0,0,0,0,10.34,0,0.1253,0.054,0.2417,0.579
2006,china,18.6,35.53,15.5,0,0,0,3.38,0.0,0.0,0,0,0,0,14.3,0,0.25432543254325435,0.3282328232823282,0.037903790379037905,0.3795379537953795
2006,eu30,4.19,61.25,0,0.14,1.9,3.4,4.25,0.0,0.0,0.456,0.3154,0.8797,0.247,7.59,0.0019,0.1801,0.2901,0.4874,0.0424
2006,nafta,3.55,57.58,0,3.66,3.1,3.9,4.05,0.0,0.0,0.744,0.5146,1.4353,0.403,7.45,0.0031,0.0606,0.1474,0.7559,0.0361
2006,row,11.9,90.65,0,3.97,0,0,8.69,0.0,0.0,0,0,0,0,8.9,0,0.12271227122712272,0.05220522052205221,0.23362336233623363,0.5914591459145915
2005,china,13.14,32.2,16.5,0,0,0,3.17,0.0,0.0,0,0,0,0,10.44,0,0.22698020774867353,0.2850808383372629,0.03902194016228809,0.4489170137517755
2005,eu30,4.14,57.5,0,1.02,1.4,3.6,3.99,0.0,0.0,0.336,0.2324,0.6482,0.182,7.74,0.0014,0.15791475297649993,0.260667441483252,0.5385061770755188,0.042911628464729214
2005,nafta,3.85,55.2,0,6.32,4.1,3.7,3.8,0.0,0.0,0.984,0.6806,1.8983,0.533,7.55,0.0041,0.05280775397601304,0.14610724052393476,0.7642186256759239,0.03686637982412831
2005,row,15.64,85.1,0,0,0,0,8.16,0.0,0.0,0,0,0,0,11.04,0,0.12023878946657904,0.05038653568430985,0.22544503651907077,0.6039296383300403
2048,eu30,0,7.057382372993743,31.15057452298788,0,20.613177780789556,0,14.856091582609224,0.0,0.0,4.947162673051935,3.4217875055237528,9.543901321532758,2.6797131123958025,0,0.020613177761660495,0.25241011485146375,0.5736021623702746,0.1496434278755234,0.024344294902738265
2049,eu30,0,4.092283016099827,32.52791579186305,0,21.67705248662969,0,15.243015287333037,0.0,0.0,5.2024926018548285,3.5983907121153607,10.036475302145845,2.81801682817877,0,0.021677052480519876,0.2398059625252718,0.5744614500127523,0.16169796896662186,0.024034618495354022
2050,eu30,0,1.050634085549973,33.93273523251992,0,22.768998551095137,0,15.636258244247074,0.0,0.0,5.464559644204201,3.7796537619306037,10.542046326947457,2.9599698119436653,0,0.02276899852333969,0.22653499611995695,0.5750540950560851,0.1746804089859415,0.02373049983801653
2021,eu30,3.345294333601487,57.767483175121015,4.2925716430545435,2.1048243105578877,2.6001414676284185,3.439355580980191,6.770943468160112,0.0,0.0,0.6240339594933175,0.4316234879752301,1.2038655198375636,0.3380183907938772,6.784649885492399,0.0026001415697294306,0.34025569617537443,0.44620580828759543,0.17873166952791136,0.03480682600911877
2022,eu30,3.143989685966517,56.934371594921686,4.937409954458417,2.0792394630952913,2.8910522288133507,3.2682028455019463,6.991367721402639,0.0,0.0,0.6938525282439514,0.4799146676032251,1.3385571804610663,0.37583678946248256,6.412192502146354,0.0028910522275111816,0.3457482061727929,0.45479620239164076,0.16510852300962292,0.03434706842594341
2023,eu30,2.923889575708017,56.01472147527966,5.608205021992035,2.0407066315819975,3.212160723618581,3.079130918587907,7.217506383984073,0.0,0.0,0.7709185710646125,0.5332186843097588,1.4872304148229887,0.4175808917498216,6.003020523523446,0.0032121607468127422,0.35055619302104873,0.4630399725467574,0.1525109722784641,0.03389286215372978
2024,eu30,2.6852406619946123,55.01014566744561,6.305209317470144,1.9891477699893585,3.5631535861393786,2.8716834715160076,7.449452706510783,0.0,0.0,0.8551568467119068,0.5914834972827521,1.6497401037959207,0.46320996591202857,5.556924133590655,0.0035631535165236983,0.3546827795579734,0.47094984518364696,0.14092316585784834,0.0334442094005313
2025,eu30,2.4282468868768774,53.921965793851996,7.02863159772096,1.9244992432759318,3.9437704929805477,2.645482476691541,7.687283577490234,0.0,0.0,0.9465049171503779,0.6546659051582537,1.8259657295639045,0.5126901573839859,5.073729450930841,0.0039437704046463296,0.35813049355641696,0.47853621313548433,0.13033218061236823,0.03300111269573047
2026,eu30,2.1530780269094976,52.751269901316846,7.778643996563915,1.8467093008075608,4.353793558941106,2.4002139902077033,7.931062765399474,0.0,0.0,1.0449104599701968,0.7227297345798434,2.0158064167699195,0.5659931597474497,4.5532919586548815,0.00435379356805754,0.3609014237453624,0.48580763282575723,0.12072737029912615,0.03256357312975423
2027,eu30,1.8598758984662709,51.49895814238698,8.555388910521287,1.7557357838632015,4.793039637006586,2.1356156626570737,8.180843546744654,0.0,0.0,1.1503295085149148,0.795644575076949,2.2191773335507605,0.6230951513516629,3.995491561028757,0.004793039573158353,0.3629972990172531,0.4927711969880599,0.11209991230332583,0.03213159169136118
2028,eu30,1.5487595925587812,50.165779613365885,9.358984244856401,1.6515442806266947,5.261353583642631,1.851467457599938,8.436670641194723,0.0,0.0,1.262724859501759,0.8733846987452125,2.4360067151283147,0.6839759661615972,3.4002271086646942,0.005261353619331999,0.36441956312363155,0.4994328394701309,0.10444242785723926,0.031705169548998303
2029,eu30,1.2198301334719872,48.75236268539447,10.18952769790485,1.534106821003661,5.758603162379586,1.547584185253072,8.698581736643973,0.0,0.0,1.3820647490156261,0.9559281233250658,2.6662332536907343,0.748618416087993,2.767414260059013,0.005758603105633142,0.3651694296576015,0.5057975428786345,0.09774872044277663,0.0312843070209873
2030,eu30,0.873172918734781,47.25923502619844,11.047101094023674,1.4034003755805315,6.284675244358368,1.223808399940026,8.966608909911884,0.0,0.0,1.5083220522028569,1.043256090621071,2.9098046267063182,0.8170077849899826,2.096981318638427,0.006284675270876505,0.3652479222348347,0.5118695281944229,0.09201354498590301,0.03086900458483936
2031,eu30,0.5088610794700799,45.68684339002357,11.93177285380807,1.2594060040064505,6.839472678489983,0.8800063256057911,9.240779564912373,0.0,0.0,1.6414734504614898,1.1353524700352864,3.166675867360027,0.8891314517295541,1.3888674343616003,0.006839472746534625,0.3646558962399177,0.5176523832764021,0.08723245812723548,0.030459262356444763
2032,eu30,0.12695730335690314,44.03556770129944,12.84360045864014,1.1021081327889988,7.422911328896589,0.5160632616898511,9.521117181409863,0.0,0.0,1.781498715705311,1.2322032886986563,3.436807958267309,0.9649784707034996,0.6430205653014127,0.007422911359405759,0.36339408925185523,0.5231491873972458,0.08340164269017222,0.030055080660726798
2033,eu30,0,42.30573300138349,13.782632467264193,0.9314938273637381,8.034918002798804,0.13188076013466343,9.807642028112241,0.0,0.0,1.9283803215512307,1.3337963885169302,3.720167034869519,1.044539336249727,0,0.008034917972096878,0.36146311576101436,0.5283625841256446,0.0805178407101361,0.0296564594032049
2034,eu30,0,40.497619524248876,14.748909499932779,0.7475526323760278,8.675428327187547,0,10.100371581893341,0.0,0.0,2.082102801759902,1.4401211074418825,4.016723309090594,1.1278056845931133,0,0.008675428319698142,0.3588634976846887,0.5332948584316982,0.07857824522683098,0.029263398656782114
2035,eu30,0,38.61146579872002,15.742467395117274,0.5502752909815172,9.344387299570371,0,10.399321259124918,0.0,0.0,2.2426529507247324,1.5511682906671922,4.326451312397694,1.2147703495265887,0,0.009344387279291766,0.35559567746568027,0.5379479954282088,0.077580428836136,0.028875898269974973
2036,eu30,0,36.6474820379226,16.76333528588293,0.33965467079906375,10.041744883237698,0,10.70450429274024,0.0,0.0,2.410018771677642,1.6669296555137407,4.649327887203981,1.3054268386476906,0,0.010041744883920956,0.3516600293346485,0.5423237258063949,0.07752228692257077,0.028493957936385823
2037,eu30,0,34.60584909043973,17.81153905800602,0.1156844105644268,10.767458007430832,0,11.015932478956529,0.0,0.0,2.5841899141232716,1.7873980238109652,4.985333054890361,1.3997695374328032,0,0.01076745799664991,0.3470568536609892,0.5464235619754289,0.0784020065706117,0.028117577792970232
2038,eu30,0,32.486725804861635,18.887100654741516,0,11.52148787472106,0,11.333616081463333,0.0,0.0,2.7651570849029667,1.9125669848963298,5.334448872585199,1.4977934225316858,0,0.011521487897937277,0.34178641430883455,0.550248834062492,0.08021799420784374,0.027746757420829684
2039,eu30,0,30.290250505378935,19.990039213866112,0,12.303800421250344,0,11.657564278762948,0.0,0.0,2.9529121129125997,2.042430871679244,5.696659612156509,1.5994940599302936,0,0.012303800474299464,0.3358489094252624,0.5538007111766073,0.08296888267876847,0.027381496719361853
